Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
shadowpoga,Domina Luminis#NA1|ShadowPoga#NA1,BOT,SI,23,Emerald 3,Diamond 4 70 LP,,Emerald 3 79 LP,,Diamond 4 1 LP,Emerald 2 21 LP,Diamond 4 70 LP,,
superchicken.,SuperChicken#0123,JGL,o7,24,Emerald 4,Diamond 4 5 LP,Emerald 1 39 LP,Emerald 3 68 LP,,Diamond 4 5 LP,,,,
.monsuno,saw#fast,TOP,,24,Emerald 4,Emerald 3 32 LP,Emerald 4 82 LP,,,Emerald 3 16 LP,Emerald 3 32 LP,,,LEFT
mrlizwiz,BronzeCena#Blind,TOP,FF,24,Platinum 1-4,Platinum 3 85 LP,Platinum 4 67 LP,Platinum 4 26 LP,,,Platinum 3 85 LP,,,
slaveknightkos,SlaveKnightKos#Kos,MID,PP,24,Emerald 3,Emerald 3 42 LP,Emerald 3 42 LP,Emerald 4 0 LP,,Platinum 1 18 LP,,,,
ausxh,Sukiha#owo|LΆustin Select#NA2,BOT|SUP,WOW,25,Emerald 3,Emerald 2 16 LP,Emerald 3 94 LP,,,Emerald 2 16 LP,Emerald 3 48 LP,,,
aapathyy,Ouroboros#Train|Ouroboros#Climb,MID,,25,Platinum 1-4,Emerald 3 15 LP,Emerald 4 51 LP,,,Emerald 4 60 LP,Emerald 3 15 LP,,,?
amuchu,Amuchu#NA1,SUP,,25,Platinum 1-4,Emerald 2 4 LP,Emerald 4 9 LP,Emerald 4 25 LP,,,Emerald 2 4 LP,,,LEFT
baomatrix,BioMatrix#EmiQT,BOT,NC,25,Emerald 3,Diamond 4 1 LP,Emerald 2 94 LP,Emerald 2 16 LP,,,Diamond 4 1 LP,,,Twitch Stream
MajinHollow,MajinHollow#Vayne|Indignified#NA1,BOT|MID,MBR,26,Platinum 1-4,Emerald 4 87 LP,Platinum 1 86 LP,,,,Emerald 4 50 LP,Emerald 4 87 LP,,
