Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
Scardeo,scardeo#NA1|Eodracs#NA1,TOP|MID,MDFC,37,Silver 1-4,Gold 2,Silver 4 56 LP,Silver 4 56 LP,Gold 4,Gold 2,Gold 4,Gold 2,Bronze 1,
iamrowx,Row#RowX,SUP,,38,Gold 1-4,Gold 2 95 LP,Gold 2 95 LP,,,Gold 3 23 LP,,,Gold 4 3 LP,
Goku2057,goku2057#NA1,SUP,AWB,38,Gold 1-4,Gold 1,Gold 2 41 LP,Gold 2 41 LP,Gold 2,Gold 2,Gold 1,Gold 2,,Twitch Link
Tiger58,Tiger58#SDC,SUP,SI,39,Gold 1-4,Emerald 4,Gold 4 59 LP,Gold 4 59 LP,Gold 3,Silver 3,Platinum 1,Emerald 4,Gold 3,
dameionaruto,DameioNaruto#GOKAI,MID|JGL,GF,39,Gold 1-4,Platinum 1,Gold 4 74 LP,Gold 4 74 LP,Gold 3,Platinum 1,,Platinum 4,Platinum 4,
drjacka1,DrJackal#9921,JGL,,40,Silver 1-4,Gold 4 24 LP,Gold 4 24 LP,Silver 2 82 LP,,Bronze 3 9 LP,,,,
icebirb.,No Hwei#green,MID|SUP,LKMT,40,Silver 1-4,Gold 4,Silver 4 0 LP,Silver 4 0 LP,Silver 4,,Gold 4,Silver 2,Bronze 2,
Serided,Serided#RoHan,BOT|MID,o7,41,Silver 1-4,Silver 1,Silver 3 30 LP,Silver 3 30 LP,Silver 1,Bronze 3,Silver 1,Silver 1,Silver 3,
Elvynya,Elvynya#Lucy|Lucy Lulu#NA1,BOT|SUP,MDFC,41,Silver 1-4,Gold 4,Bronze 4 78 LP,Bronze 4 78 LP,Silver 4,Silver 3,Gold 4,Bronze 2,,Twitch Stream
shotsfortots,it is what it is#na3,BOT|SUP,LEG,41,Silver 1-4,Silver 3,,,Silver 3,Bronze 1,Silver 3,,Silver 3,
